Product Name,Prices
Matte Muse | Mousse Lipstick,Rs. 299
TRIO Treat,Rs. 599
Matte Lipsticks Box | Set of 3,Rs. 399
Drip | Lip Mist,Rs. 299
Lightweight BB Cream Foundation,Rs. 339
Love Track | Velvet Lip Tint,Rs. 299
Makeup Setter & Blotter | Gel Compact,Rs. 349
Blush Hour | Liquid Blush,Rs. 299
Two-in-One Mascara | Double Trouble,Rs. 279
Zero Blend Weightless Foundation,Rs. 449
Edge of Desire | Lip Liner Pencil,Rs. 69
Matte Lip Crayon | Won't Smudge Won't Budge,Rs. 249
Candylicious | Lip Gloss,Rs. 249
Smooth Glide Kajal | Won't Smudge Won't Budge,Rs. 299
Blooming | Eyeshadow Palette,Rs. 349
Creamy Matte Lipstick,Rs. 199
Foundation | High Coverage Formula,Rs. 379
4 In 1 Travel Brush,Rs. 659
God’s Glow | Illuminator,Rs. 899
Candylicious | Lip Gloss,Rs. 249
Super Stay | Non Transfer Lipstick,Rs. 279
Cancel Concealer | Liquid Concealer,Rs. 249
"Illuminati Base | Strobe Cream, 45ml",Rs. 289
Artist's Arsenal Makeup Brush Set | Pack of 6,"Rs. 1,399"
Professional Brush Set,"Rs. 2,499"
Dewy Face Primer | It's Glow O' Clock Primer,Rs. 399
Northern Lights In A Pan,Rs. 499
16 Color Eyeshadow Palette- Mesmereyes,Rs. 349
Cover Rangers | Concealer Palette,Rs. 549
The City Paradise,Rs. 399
2 in 1 Compact Powder | Wonder Compact Powder,Rs. 349
Loose Powder | Trend Setting Powder,Rs. 279
Popstar | Liquid Mousse Lipstick,Rs. 249
Tools Of Titans Brush Set | Pack of 8,Rs. 899
Plush Velvet Lipstick,Rs. 199
Eyes Can Kill | 63 Bright Colour Eyeshadow Palette,"Rs. 1,499"
12 Color Eyeshadow Palette | Dance Of Joy,Rs. 299
Northern Lights Liquid Eyeshadow,Rs. 599
HD Compact Powder | Oil Control,Rs. 199
Matte On | Compact Powder,Rs. 349
Edge of Desire | Lip Liner Pencil With Holder,Rs. 690
Smudge & Water Proof Mascara | Fabulash Mascara,Rs. 229
Sketch Pen Eyeliner | Ink Black Eyeliner,Rs. 279
Glitter Liquid Eyeshadow,Rs. 249
Infinity Demi Matte Lip Palette,Rs. 379
Pore Filling Primer | Pore Cure Primer,Rs. 329
Sugar Rush | Liquid Blusher,Rs. 279
